k_features,threshold,Accuracy,Precision_1,Recall_1,F1_1,ROC_AUC
19,0.49000000000000027,0.6595409716620261,0.364970938941818,0.7101964670903049,0.4821594664661297,0.7458263969911374
16,0.49000000000000027,0.6589814983476021,0.36448514229284495,0.7100798694105988,0.48170852283962823,0.7457968286749325
18,0.49000000000000027,0.658487080069739,0.3640223664144963,0.7097300763714802,0.48122381215906396,0.7454985759894425
17,0.49000000000000027,0.6588253662598559,0.36411854604297145,0.7083892030548592,0.48099912912675163,0.7459386509410203
14,0.49000000000000027,0.6562621978193551,0.3625467275855931,0.7124118230047222,0.4805442497886313,0.7437518239136978
15,0.49000000000000027,0.656392307892477,0.3622946917400619,0.7098466740511864,0.4797383818285692,0.7432576659373754
13,0.49000000000000027,0.6543886127664004,0.3609633569739953,0.7121203288054567,0.4790853646578942,0.7422143666747447
10,0.49000000000000027,0.6505243435946811,0.3578728513280037,0.7124701218445753,0.47643366730341896,0.7398444116695266
11,0.49000000000000027,0.6510447838871686,0.3580594954923208,0.7108377543286889,0.47623325391555676,0.7402187404108209
12,0.49000000000000027,0.6499258372583205,0.3569647728272666,0.7094968810120679,0.47496389962143387,0.7399810597365964
9,0.49000000000000027,0.6497306721486378,0.3567741935483871,0.7092636856526555,0.47474294187657307,0.7401679353226881
8,0.49000000000000027,0.6466600744229618,0.35514045757312485,0.714918673118405,0.47454675618675385,0.7383202390083508
7,0.49000000000000027,0.6462307111816596,0.35447295925764827,0.7126450183641345,0.47344978504202334,0.7375288218825831
6,0.49000000000000027,0.6394259543573864,0.3493150684931507,0.7135777998017839,0.46902841377196175,0.7328815250546868
5,0.49000000000000027,0.6315673059408259,0.3415644868301544,0.701568238792048,0.45944449747064997,0.7173295881727673
