Feature,Importance,Model
grade_rank,0.33941486,XGBoost
term_int_rate,0.1473793,XGBoost
tot_cur_bal_log,0.09314931,XGBoost
tot_cur_bal_group_num,0.07356693,XGBoost
fico_dti_interaction,0.03502248,XGBoost
fico_bin_num,0.027288027,XGBoost
installment_to_fico,0.026146788,XGBoost
purpose_term_interaction,0.0235127,XGBoost
installment_to_income,0.022350693,XGBoost
open_acc_group_num,0.020633627,XGBoost
fico_income_interaction,0.020615429,XGBoost
fico_balance_interaction,0.0182316,XGBoost
dti,0.01813607,XGBoost
tot_cur_bal_log,1153.0,LightGBM
term_int_rate,893.0,LightGBM
installment_to_fico,840.0,LightGBM
revol_util_to_fico,736.0,LightGBM
installment_to_income,652.0,LightGBM
fico_income_interaction,627.0,LightGBM
fico_dti_interaction,615.0,LightGBM
balance_to_income,500.0,LightGBM
dti,397.0,LightGBM
grade_rank,395.0,LightGBM
fico_balance_interaction,375.0,LightGBM
purpose_term_interaction,371.0,LightGBM
fico_bin_num,335.0,LightGBM
open_acc_group_num,210.0,LightGBM
tot_cur_bal_group_num,199.0,LightGBM
term_int_rate,0.3232207524821699,RandomForest
grade_rank,0.301824774480262,RandomForest
purpose_term_interaction,0.1425963116286047,RandomForest
fico_dti_interaction,0.0375833866438344,RandomForest
fico_bin_num,0.0372790146364925,RandomForest
installment_to_income,0.0290596336432705,RandomForest
tot_cur_bal_group_num,0.0260243311175937,RandomForest
installment_to_fico,0.0207769369674575,RandomForest
fico_income_interaction,0.0188248673957519,RandomForest
dti,0.01825768087784,RandomForest
tot_cur_bal_log,0.0165374460914683,RandomForest
fico_balance_interaction,0.0117454779226901,RandomForest
balance_to_income,0.002492961778536,RandomForest
